id,category,original_text,rewritten_text,audience,tone,fallback_used,automatic_pass,fidelity_score_1_5,audience_fit_score_1_5,naturalness_score_1_5,reviewer_notes
R13,family_cross_generation,阿公，我今天晚上7點才會到家，不用等我吃飯。,想跟您說，阿公，我今天晚上7點才會到家，不用等我吃飯。,elder,warm,True,True,,,,
R14,family_medicine,媽媽，這包藥只能睡前吃1顆，不要多吃。,媽媽，這包藥只能睡前吃1顆，不要多吃。,elder,clear,False,True,,,,
R15,family_schedule,星期六早上10點我要帶爸爸回診，下午不會在家。,星期六早上10點我要帶爸爸回診，下午不會在家。,family,clear,True,True,,,,
R16,family_money,這個月我只能給家裡3000元，其他費用要再討論。,這個月我只能給家裡3000元，其他費用我們再商量。,family,polite,False,True,,,,
R17,family_refusal,我明天不能陪你去市場，但可以先幫你列清單。,明天我不能陪你去市場，但我可以先幫你列清單。,elder,warm,False,True,,,,
R18,family_uncertainty,過年能不能回去，我要到1月20日才知道。,過年能不能回去，我要到1月20日才知道。,family,warm,True,True,,,,
R19,friend_cancellation,今晚的電影我沒辦法去，票先不要幫我買。,今晚的電影我沒辦法去，票先不要幫我買了。,friend,polite,False,True,,,,
R20,friend_location,我在火車站前面，不是在捷運站出口。,我在火車站前面，不是在捷運站出口。,friend,concise,False,True,,,,
R21,friend_amount,聚餐每人是650元，不包含飲料。,聚餐每人是650元，不含飲料。,friend,clear,False,True,,,,
R22,friend_uncertainty,我可能會晚到20分鐘，你們不用先等我。,我可能遲到20分鐘，你們不用等我。,friend,concise,False,True,,,,
R23,friend_borrowing,你的相機我可以借到星期日，但不能帶去海邊。,你的相機我可以借到星期日，但不能帶去海邊。,friend,polite,False,True,,,,
R24,friend_privacy,這張照片可以留著，但請不要放到社群網站。,這張照片可以留下，但請不要放在社群網站上。,friend,polite,False,True,,,,
R25,work_deadline,這份報告必須在週三中午12點前交給主管。,您好，這份報告必須在週三中午12點前交給主管。,formal,polite,True,True,,,,
R26,work_status,目前只完成第一部分，第二部分還沒確認。,目前只完成第一部分，第二部分還沒確認。,formal,clear,False,True,,,,
R27,work_meeting,明天的會議改成線上，原本的會議室不用保留。,明天的會議改成線上，原本的會議室不用保留了。,formal,polite,False,True,,,,
R28,work_access,這個帳號只能查詢資料，不能修改或下載。,這個帳號只有查詢資料的權限，無法修改或下載。,formal,clear,False,True,,,,
R29,work_leave,我9月8日上午請假，下午會正常上班。,我9月8日上午請假，下午會正常上班。,formal,polite,False,True,,,,
R30,work_correction,上一封信的附件放錯了，請不要使用，改看這一份。,上一封信的附件放錯了，請不要使用，改看這一份。,formal,polite,False,True,,,,
R31,medical_dosage,這瓶藥水每次喝5毫升，一天最多3次。,這瓶藥水每次喝5毫升，一天最多喝3次。,elder,clear,False,True,,,,
R32,medical_fasting,明早檢查前8小時不能吃東西，可以喝少量白開水。,明天早上檢查前8小時不能吃東西，可以喝少量白開水。,elder,clear,False,True,,,,
R33,medical_appointment,門診改到10月3日下午，上午的預約已經取消。,門診改到10月3日下午，上午的預約已經取消了。,family,clear,False,True,,,,
R34,medical_uncertainty,檢查結果還沒出來，目前不能確定要不要住院。,目前檢查結果還沒出來，我們還不能確定要不要住院。,family,warm,False,True,,,,
R35,caregiving_boundary,今晚我可以陪到9點，之後需要由其他家人接手。,今晚我可以陪到9點，之後需要由其他家人接手。,family,polite,True,True,,,,
R36,medical_allergy,我對這種藥過敏，請不要再給我同一種。,我對這種藥物過敏，請不要再給我使用同一種。,formal,clear,False,True,,,,
R37,public_deadline,補助申請只收到6月30日，超過期限不能補件。,您好，補助申請只收到6月30日，超過期限不能補件。,formal,polite,True,True,,,,
R38,public_fee,成人票120元，未滿6歲不用買票。,成人票120元，未滿6歲不用買票。,formal,clear,False,True,,,,
R39,public_transport,末班公車是晚上11點，錯過後沒有其他班次。,末班公車是晚上11點，錯過後沒有其他班次了。,formal,clear,False,True,,,,
R40,public_documents,辦理時必須帶身分證正本，影本不能代替。,辦理時必須帶身分證正本，影本不能代替。,formal,polite,False,True,,,,
R41,public_service_time,服務台中午12點到1點暫停受理，下午1點後再來。,服務台中午12點到1點暫停受理，下午1點後再來。,formal,polite,False,True,,,,
R42,public_privacy,表格可以拍照，但上面的身分證字號不能公開。,表格可以拍照，但上面的身分證字號不能公開。,formal,clear,False,True,,,,
R43,taigi_family,阿母，我今仔日欲加班，暗頓毋免等我。,想跟您說，阿母，我今仔日欲加班，暗頓毋免等我。,elder,warm,True,True,,,,
R44,taigi_medicine,這帖藥愛食三工，毋通家己停藥。,這帖藥愛食三工，毋通家己停藥。,elder,clear,True,True,,,,
R45,taigi_schedule,我拜五下晡兩點才會到，毋免提早來等。,我拜五下晡兩點才會到，毋免提早來等。,friend,concise,True,True,,,,
R46,taigi_negation,彼个所在袂使停車，請停去對面的停車場。,您好，彼个所在袂使停車，請停去對面的停車場。,formal,polite,True,True,,,,
R47,mixed_language_work,明天的meeting取消，下午3點不用上線。,明天的會議取消了，下午3點不用上線了。,formal,polite,False,True,,,,
R48,mixed_language_privacy,這份file只能看，請不要forward給其他人。,這份檔案只能查看，請不要轉寄給其他人。,formal,clear,False,True,,,,
