case_id,language_type,selected_source,baseline_cer,prompt_v2_cer,hybrid_v3_cer,cer_change_vs_baseline,baseline_text,prompt_v2_text,selected_text,reference_text
T22,國語,baseline,0.0,0.0,0.0,0.0,出門前記得把門鎖好我晚1點回來,出門前記得把門鎖好我晚1點回來,出門前記得把門鎖好我晚1點回來,出門前記得把門鎖好，我晚一點回來。
T23,台語,baseline,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.0,油鴨在上面吃飯才會快點吃,油蕾蕾在上面吃飯才會快點吃,油鴨在上面吃飯才會快點吃,藥仔佇桌頂，食飽才會記得食。
T24,國台混合,prompt_v2,0.13043478260869565,0.17391304347826086,0.17391304347826086,0.043478260869565216,今天meeting可能會拖到7點你先吃你們等我,今天的meeting可能會拖到7點你先吃你們等我 ,今天的meeting可能會拖到7點你先吃你們等我 ,今天 meeting 可能會拖到七點，你先食，毋免等我。
T25,國語,baseline,0.0,0.0,0.0,0.0,週6如果沒下雨我們再去騎腳踏車,週6如果沒下雨我們再去騎腳踏車,週6如果沒下雨我們再去騎腳踏車,週六如果沒下雨，我們再去騎腳踏車。
T26,台語,baseline,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,我明天早上3點吃得到你不用早上去等 ,我明天早上3點吃得到你不用早上去等 ,我明天早上3點吃得到你不用早上去等 ,我明仔載下晡三點才會到，你毋免遐早去等。
T27,國語,baseline,0.125,0.125,0.125,0.0,主管我明天上午要去複診想請0.5天假,主管我明天上午要去複診想請0.5天假,主管我明天上午要去複診想請0.5天假,主管，我明天上午要去複診，想請半天假。
T28,台語,baseline,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.0,1個禮拜我打不贏另1天我再跟你約,1個禮拜我打不贏另1天我再跟你約,1個禮拜我打不贏另1天我再跟你約,這禮拜我較無閒，改工我才閣佮你約。
T29,國台混合,prompt_v2,0.47058823529411764,0.35294117647058826,0.35294117647058826,-0.11764705882352938,冰箱下層有1顆水果你如果要吃就慢慢拿 ,冰箱下層有1顆水果你若要吃就慢慢拿 ,冰箱下層有1顆水果你若要吃就慢慢拿 ,冰箱下層有一盒水果，你若欲食就家己提。
T30,中英混合,baseline,0.0,0.0,0.0,0.0,我已經把 report改完了等1下會email給你 ,我已經把 report改完了等1下會email給你 ,我已經把 report改完了等1下會email給你 ,我已經把 report 改完了，等一下會 email 給你。
T31,國語,baseline,0.0625,0.0625,0.0625,0.0,不好意思請問火車站往哪個方向走,不好意思請問火車站往哪個方向走,不好意思請問火車站往哪個方向走,不好意思，請問火車站要往哪個方向走？
T32,台語,baseline,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0,外面有風箏廠你出門記得找water嗎,外面有風箏廠你出門記得找water嗎,外面有風箏廠你出門記得找water嗎,外口風真透，你出門記得穿外套。
T33,客語（四縣）,prompt_v2,0.7272727272727273,0.6363636363636364,0.6363636363636364,-0.09090909090909094,吃到忙還忙都1起來吃飯 ,吃飽忙還忙都1起來吃飯 ,吃飽忙還忙都1起來吃飯 ,食飽吂？還吂就共下來食飯。
T34,國台混合,prompt_v2,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.0,這把菜1斤50你來要不要我算你比較小的,這把菜1斤50你來要不要我算你比較小的,這把菜1斤50你來要不要我算你比較小的,這把菜一斤五十，你若欲我算你便宜一點。
T35,國語,baseline,0.0,0.0,0.0,0.0,這件事我還要想1想現在先不答應你,這件事我還要想1想現在先不答應你,這件事我還要想1想現在先不答應你,這件事我還要想一想，現在先不答應你。
T36,中英混合,baseline,0.0,0.0,0.0,0.0,我到捷運站了你ready之後再call我,我到捷運站了你ready之後再call我,我到捷運站了你ready之後再call我,我到捷運站了，你 ready 之後再 call 我。
T37,台語,baseline,0.75,0.75,0.75,0.0,你如果不贏打麻將要打電話來,你如果不贏考馬上要打電話來 ,你如果不贏打麻將要打電話來,你若無閒，較晏才閣拍電話來。
T38,國語,baseline,0.0,0.0,0.0,0.0,我已經平安到家了你不用再擔心,我已經平安到家了你不用再擔心,我已經平安到家了你不用再擔心,我已經平安到家了，你不用再擔心。
T39,客語（四縣）,prompt_v2,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.09090909090909088,下水了出門要記得帶雨傘 ,下雨了出門要記得帶雨傘 ,下雨了出門要記得帶雨傘 ,落水咧，出門愛記得帶遮仔。
T40,國台混合,prompt_v2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,媽仔早上高點要停水請大家記得先出水 ,媽仔早上高點要停水請大家記得先出水 ,媽仔早上高點要停水請大家記得先出水 ,明仔載早起九點會停水，請大家記得先儲水。
T41,台語,baseline,1.1176470588235294,1.1176470588235294,1.1176470588235294,0.0,安床在桌上拿冷氣就燒開菜要燒比較快吃 ,安定在桌上拿冷氣就燒開菜要燒比較快吃 ,安床在桌上拿冷氣就燒開菜要燒比較快吃 ,暗頓佇桌頂，若冷去就小可仔炊予燒閣食。
