case_id,language_type,baseline_text,prompt_text,reference_text,baseline_cer,prompt_cer,absolute_cer_change,improved
T22,國語,出門前記得把門鎖好我晚1點回來,出門前記得把門鎖好我晚1點回來,出門前記得把門鎖好，我晚一點回來。,0.0,0.0,0.0,False
T23,台語,油鴨在上面吃飯才會快點吃,油蕾蕾在上面吃飯才會快點吃,藥仔佇桌頂，食飽才會記得食。,0.8333333333333334,0.9166666666666666,0.08333333333333326,False
T24,國台混合,今天meeting可能會拖到7點你先吃你們等我,今天的meeting可能會拖到7點你先吃你們等我 ,今天 meeting 可能會拖到七點，你先食，毋免等我。,0.13043478260869565,0.17391304347826086,0.043478260869565216,False
T25,國語,週6如果沒下雨我們再去騎腳踏車,週6如果沒下雨我們再去騎腳踏車,週六如果沒下雨，我們再去騎腳踏車。,0.0,0.0,0.0,False
T26,台語,我明天早上3點吃得到你不用早上去等 ,我明天早上3點吃得到你不用早上去等 ,我明仔載下晡三點才會到，你毋免遐早去等。,0.5555555555555556,0.5555555555555556,0.0,False
T27,國語,主管我明天上午要去複診想請0.5天假,主管我明天上午要去複診想請0.5天假,主管，我明天上午要去複診，想請半天假。,0.125,0.125,0.0,False
T28,台語,1個禮拜我打不贏另1天我再跟你約,1個禮拜我打不贏另1天我再跟你約,這禮拜我較無閒，改工我才閣佮你約。,0.7333333333333333,0.7333333333333333,0.0,False
T29,國台混合,冰箱下層有1顆水果你如果要吃就慢慢拿 ,冰箱下層有1顆水果你若要吃就慢慢拿 ,冰箱下層有一盒水果，你若欲食就家己提。,0.47058823529411764,0.35294117647058826,-0.11764705882352938,True
T30,中英混合,我已經把 report改完了等1下會email給你 ,我已經把 report改完了等1下會email給你 ,我已經把 report 改完了，等一下會 email 給你。,0.0,0.0,0.0,False
T31,國語,不好意思請問火車站往哪個方向走,不好意思請問火車站往哪個方向走,不好意思，請問火車站要往哪個方向走？,0.0625,0.0625,0.0,False
T32,台語,外面有風箏廠你出門記得找water嗎,外面有風箏廠你出門記得找water嗎,外口風真透，你出門記得穿外套。,0.8461538461538461,0.8461538461538461,0.0,False
T33,客語（四縣）,吃到忙還忙都1起來吃飯 ,吃飽忙還忙都1起來吃飯 ,食飽吂？還吂就共下來食飯。,0.7272727272727273,0.6363636363636364,-0.09090909090909094,True
T34,國台混合,這把菜1斤50你來要不要我算你比較小的,這把菜1斤50你來要不要我算你比較小的,這把菜一斤五十，你若欲我算你便宜一點。,0.47058823529411764,0.47058823529411764,0.0,False
T35,國語,這件事我還要想1想現在先不答應你,這件事我還要想1想現在先不答應你,這件事我還要想一想，現在先不答應你。,0.0,0.0,0.0,False
T36,中英混合,我到捷運站了你ready之後再call我,我到捷運站了你ready之後再call我,我到捷運站了，你 ready 之後再 call 我。,0.0,0.0,0.0,False
T37,台語,你如果不贏打麻將要打電話來,你如果不贏考馬上要打電話來 ,你若無閒，較晏才閣拍電話來。,0.75,0.75,0.0,False
T38,國語,我已經平安到家了你不用再擔心,我已經平安到家了你不用再擔心,我已經平安到家了，你不用再擔心。,0.0,0.0,0.0,False
T39,客語（四縣）,下水了出門要記得帶雨傘 ,下雨了出門要記得帶雨傘 ,落水咧，出門愛記得帶遮仔。,0.45454545454545453,0.5454545454545454,0.09090909090909088,False
T40,國台混合,媽仔早上高點要停水請大家記得先出水 ,媽仔早上高點要停水請大家記得先出水 ,明仔載早起九點會停水，請大家記得先儲水。,0.3333333333333333,0.3333333333333333,0.0,False
T41,台語,安床在桌上拿冷氣就燒開菜要燒比較快吃 ,安定在桌上拿冷氣就燒開菜要燒比較快吃 ,暗頓佇桌頂，若冷去就小可仔炊予燒閣食。,1.1176470588235294,1.1176470588235294,0.0,False
T42,國語,明天下午3點以前不要自己去醫院,明天下午3點以前不要自己去醫院,明天下午三點以前不要自己去醫院。,0.0,0.0,0.0,False
T43,中英混合,下午的meeting改成online認可我等1下傳給你,下午的meeting改成online認可我等1下傳給你,下午的 meeting 改成 online，link 我等一下傳給你。,0.13793103448275862,0.13793103448275862,0.0,False
T44,客語（四縣）,我今天比較忙稍早才來聯絡你,我今天比較忙碌明天再讓你聯絡 ,𠊎今晡日較無閒，韶早正摎你聯絡。,0.7692307692307693,0.6923076923076923,-0.07692307692307698,True
T45,國台混合,你早上就打給我我開車去載你不用怕 ,你以前就打給我我我開車去載你不用怕 ,你到站了就打給我，我開車去載你，毋免家己行。,0.42105263157894735,0.47368421052631576,0.05263157894736842,False
T46,台語,東西我已經放在管理室你回來要記得去掛啊,東西我已經放在管理室你回來要記得去掛啊 ,物件我已經放佇管理室，你轉來記得去提。,0.4117647058823529,0.4117647058823529,0.0,False
T47,國語,這本方案我先看看明天再回覆你,這本方案我先看看明天再回覆你,這份方案我先看看，明天再回覆你。,0.07142857142857142,0.07142857142857142,0.0,False
T48,中英混合,不好意思請問check in是在最貴嗎,不好意思請問check in是在最貴嗎,不好意思，請問 check-in 是在這一櫃嗎？,0.15789473684210525,0.15789473684210525,0.0,False
T49,客語（四縣）,藥吃完要喝1些水不要空肚吃 ,藥吃完要喝1些水不要空肚吃 ,藥食忒愛啉兜仔水，毋好空肚食。,0.6923076923076923,0.6923076923076923,0.0,False
T50,國台混合,好到時候再看看,好到時候再看看,好啦，到時陣閣看覓。,0.5,0.5,0.0,False
